colonnina,data,totale,VEL2024
Ercolani,2018-12-31,19.0,50
Ercolani,2019-01-01,464.0,50
Ercolani,2019-01-02,816.0,50
Ercolani,2019-01-03,987.0,50
Ercolani,2019-01-04,1037.0,50
Ercolani,2019-01-05,704.0,50
Ercolani,2019-01-06,713.0,50
Ercolani,2019-01-07,1747.0,50
Ercolani,2019-01-08,1884.0,50
Ercolani,2019-01-09,1985.0,50
Ercolani,2019-01-10,2068.0,50
Ercolani,2019-01-11,2069.0,50
Ercolani,2019-01-12,1271.0,50
Ercolani,2019-01-13,946.0,50
Ercolani,2019-01-14,2277.0,50
Ercolani,2019-01-15,2435.0,50
Ercolani,2019-01-16,2518.0,50
Ercolani,2019-01-17,2399.0,50
Ercolani,2019-01-18,2091.0,50
Ercolani,2019-01-19,1043.0,50
Ercolani,2019-01-20,818.0,50
Ercolani,2019-01-21,1831.0,50
Ercolani,2019-01-22,1590.0,50
Ercolani,2019-01-23,1607.0,50
Ercolani,2019-01-24,1293.0,50
Ercolani,2019-01-25,1719.0,50
Ercolani,2019-01-26,1187.0,50
Ercolani,2019-01-27,720.0,50
Ercolani,2019-01-28,1445.0,50
Ercolani,2019-01-29,1918.0,50
Ercolani,2019-01-30,1503.0,50
Ercolani,2019-01-31,1198.0,50
Ercolani,2019-02-01,1092.0,50
Ercolani,2019-02-02,669.0,50
Ercolani,2019-02-03,708.0,50
Ercolani,2019-02-04,1623.0,50
Ercolani,2019-02-05,2162.0,50
Ercolani,2019-02-06,2218.0,50
Ercolani,2019-02-07,2211.0,50
Ercolani,2019-02-08,2058.0,50
Ercolani,2019-02-09,1212.0,50
Ercolani,2019-02-10,891.0,50
Ercolani,2019-02-11,2207.0,50
Ercolani,2019-02-12,2492.0,50
Ercolani,2019-02-13,2508.0,50
Ercolani,2019-02-14,2405.0,50
Ercolani,2019-02-15,2358.0,50
Ercolani,2019-02-16,1526.0,50
Ercolani,2019-02-17,1268.0,50
Ercolani,2019-02-18,2618.0,50
Ercolani,2019-02-19,2821.0,50
Ercolani,2019-02-20,2739.0,50
Ercolani,2019-02-21,2581.0,50
Ercolani,2019-02-22,2635.0,50
Ercolani,2019-02-23,1349.0,50
Ercolani,2019-02-24,1087.0,50
Ercolani,2019-02-25,2583.0,50
Ercolani,2019-02-26,2661.0,50
Ercolani,2019-02-27,3026.0,50
Ercolani,2019-02-28,2888.0,50
Ercolani,2019-03-01,2621.0,50
Ercolani,2019-03-02,1702.0,50
Ercolani,2019-03-03,1545.0,50
Ercolani,2019-03-04,3182.0,50
Ercolani,2019-03-05,3388.0,50
Ercolani,2019-03-06,3586.0,50
Ercolani,2019-03-07,3377.0,50
Ercolani,2019-03-08,3133.0,50
Ercolani,2019-03-09,1907.0,50
Ercolani,2019-03-10,1472.0,50
Ercolani,2019-03-11,3144.0,50
Ercolani,2019-03-12,3288.0,50
Ercolani,2019-03-13,2826.0,50
Ercolani,2019-03-14,3171.0,50
Ercolani,2019-03-15,3390.0,50
Ercolani,2019-03-16,2310.0,50
Ercolani,2019-03-17,1741.0,50
Ercolani,2019-03-18,2223.0,50
Ercolani,2019-03-19,2911.0,50
Ercolani,2019-03-20,3248.0,50
Ercolani,2019-03-21,3264.0,50
Ercolani,2019-03-22,3269.0,50
Ercolani,2019-03-23,2270.0,50
Ercolani,2019-03-24,2167.0,50
Ercolani,2019-03-25,3472.0,50
Ercolani,2019-03-26,3027.0,50
Ercolani,2019-03-27,3475.0,50
Ercolani,2019-03-28,3288.0,50
Ercolani,2019-03-29,2942.0,50
Ercolani,2019-03-30,2252.0,50
Ercolani,2019-03-31,1975.0,50
Ercolani,2019-04-01,3370.0,50
Ercolani,2019-04-02,3594.0,50
Ercolani,2019-04-03,3238.0,50
Ercolani,2019-04-04,2132.0,50
Ercolani,2019-04-05,2558.0,50
Ercolani,2019-04-06,1981.0,50
Ercolani,2019-04-07,1210.0,50
Ercolani,2019-04-08,3423.0,50
Ercolani,2019-04-09,3214.0,50
Ercolani,2019-04-10,3142.0,50
Ercolani,2019-04-11,2182.0,50
Ercolani,2019-04-12,2458.0,50
Ercolani,2019-04-13,1596.0,50
Ercolani,2019-04-14,798.0,50
Ercolani,2019-04-15,3086.0,50
Ercolani,2019-04-16,3575.0,50
Ercolani,2019-04-17,3307.0,50
Ercolani,2019-04-18,2688.0,50
Ercolani,2019-04-19,2357.0,50
Ercolani,2019-04-20,1495.0,50
Ercolani,2019-04-21,885.0,50
Ercolani,2019-04-22,641.0,50
Ercolani,2019-04-23,753.0,50
Ercolani,2019-04-24,1898.0,50
Ercolani,2019-04-25,1516.0,50
Ercolani,2019-04-26,2142.0,50
Ercolani,2019-04-27,2038.0,50
Ercolani,2019-04-28,727.0,50
Ercolani,2019-04-29,1090.0,50
Ercolani,2019-04-30,3100.0,50
Ercolani,2019-05-01,2512.0,50
Ercolani,2019-05-02,3410.0,50
Ercolani,2019-05-03,2894.0,50
Ercolani,2019-05-04,1511.0,50
Ercolani,2019-05-05,368.0,50
Ercolani,2019-05-06,2738.0,50
Ercolani,2019-05-07,3544.0,50
Ercolani,2019-05-08,2712.0,50
Ercolani,2019-05-09,2503.0,50
Ercolani,2019-05-10,3645.0,50
Ercolani,2019-05-11,2902.0,50
Ercolani,2019-05-12,319.0,50
Ercolani,2019-05-13,1422.0,50
Ercolani,2019-05-14,3030.0,50
Ercolani,2019-05-15,1818.0,50
Ercolani,2019-05-16,3399.0,50
Ercolani,2019-05-17,3286.0,50
Ercolani,2019-05-18,671.0,50
Ercolani,2019-05-19,618.0,50
Ercolani,2019-05-20,2385.0,50
Ercolani,2019-05-21,3202.0,50
Ercolani,2019-05-22,3167.0,50
Ercolani,2019-05-23,3267.0,50
Ercolani,2019-05-24,3268.0,50
Ercolani,2019-05-25,1851.0,50
Ercolani,2019-05-26,699.0,50
Ercolani,2019-05-27,1024.0,50
Ercolani,2019-05-28,2207.0,50
Ercolani,2019-05-29,1514.0,50
Ercolani,2019-05-30,3219.0,50
Ercolani,2019-05-31,3551.0,50
Ercolani,2019-06-01,2701.0,50
Ercolani,2019-06-02,2372.0,50
Ercolani,2019-06-03,3378.0,50
Ercolani,2019-06-04,3835.0,50
Ercolani,2019-06-05,3772.0,50
Ercolani,2019-06-06,3671.0,50
Ercolani,2019-06-07,3539.0,50
Ercolani,2019-06-08,2542.0,50
Ercolani,2019-06-09,2136.0,50
Ercolani,2019-06-10,3013.0,50
Ercolani,2019-06-11,3678.0,50
Ercolani,2019-06-12,3687.0,50
Ercolani,2019-06-13,3607.0,50
Ercolani,2019-06-14,3438.0,50
Ercolani,2019-06-15,2386.0,50
Ercolani,2019-06-16,1857.0,50
