_id;reftime;stazione;value;agente_atm
1185735;2025-01-12T00:00:00+01:00;GIARDINI MARGHERITA, BOLOGNA VIALE BOTTONELLI;4.0;O3 (Ozono)
1185512;2025-01-12T00:00:00+01:00;VIA CHIARINI, BOLOGNA VIA CHIARINI;16.0;PM10
1185687;2025-01-12T00:00:00+01:00;VIA CHIARINI, BOLOGNA VIA CHIARINI;2.0;O3 (Ozono)
1187434;2025-01-11T23:00:00+01:00;GIARDINI MARGHERITA, BOLOGNA VIALE BOTTONELLI;23.0;NO2 (Biossido di azoto)
1185686;2025-01-11T23:00:00+01:00;VIA CHIARINI, BOLOGNA VIA CHIARINI;2.0;O3 (Ozono)
1185733;2025-01-11T22:00:00+01:00;GIARDINI MARGHERITA, BOLOGNA VIALE BOTTONELLI;3.0;O3 (Ozono)
1185685;2025-01-11T22:00:00+01:00;VIA CHIARINI, BOLOGNA VIA CHIARINI;2.0;O3 (Ozono)
1185732;2025-01-11T21:00:00+01:00;GIARDINI MARGHERITA, BOLOGNA VIALE BOTTONELLI;4.0;O3 (Ozono)
1187432;2025-01-11T21:00:00+01:00;GIARDINI MARGHERITA, BOLOGNA VIALE BOTTONELLI;28.0;NO2 (Biossido di azoto)
1187528;2025-01-11T21:00:00+01:00;VIA CHIARINI, BOLOGNA VIA CHIARINI;32.0;NO2 (Biossido di azoto)
1185682;2025-01-11T19:00:00+01:00;VIA CHIARINI, BOLOGNA VIA CHIARINI;3.0;O3 (Ozono)
1185729;2025-01-11T18:00:00+01:00;GIARDINI MARGHERITA, BOLOGNA VIALE BOTTONELLI;11.0;O3 (Ozono)
1187428;2025-01-11T17:00:00+01:00;GIARDINI MARGHERITA, BOLOGNA VIALE BOTTONELLI;21.0;NO2 (Biossido di azoto)
1185680;2025-01-11T17:00:00+01:00;VIA CHIARINI, BOLOGNA VIA CHIARINI;28.0;O3 (Ozono)
1187524;2025-01-11T17:00:00+01:00;VIA CHIARINI, BOLOGNA VIA CHIARINI;19.0;NO2 (Biossido di azoto)
1185727;2025-01-11T16:00:00+01:00;GIARDINI MARGHERITA, BOLOGNA VIALE BOTTONELLI;32.0;O3 (Ozono)
1187427;2025-01-11T16:00:00+01:00;GIARDINI MARGHERITA, BOLOGNA VIALE BOTTONELLI;18.0;NO2 (Biossido di azoto)
1185726;2025-01-11T15:00:00+01:00;GIARDINI MARGHERITA, BOLOGNA VIALE BOTTONELLI;31.0;O3 (Ozono)
1187426;2025-01-11T15:00:00+01:00;GIARDINI MARGHERITA, BOLOGNA VIALE BOTTONELLI;19.0;NO2 (Biossido di azoto)
1187423;2025-01-11T12:00:00+01:00;GIARDINI MARGHERITA, BOLOGNA VIALE BOTTONELLI;28.0;NO2 (Biossido di azoto)
1185721;2025-01-11T10:00:00+01:00;GIARDINI MARGHERITA, BOLOGNA VIALE BOTTONELLI;4.0;O3 (Ozono)
1185673;2025-01-11T10:00:00+01:00;VIA CHIARINI, BOLOGNA VIA CHIARINI;4.0;O3 (Ozono)
1185720;2025-01-11T09:00:00+01:00;GIARDINI MARGHERITA, BOLOGNA VIALE BOTTONELLI;7.0;O3 (Ozono)
1187420;2025-01-11T09:00:00+01:00;GIARDINI MARGHERITA, BOLOGNA VIALE BOTTONELLI;19.0;NO2 (Biossido di azoto)
1187516;2025-01-11T09:00:00+01:00;VIA CHIARINI, BOLOGNA VIA CHIARINI;21.0;NO2 (Biossido di azoto)
1187419;2025-01-11T08:00:00+01:00;GIARDINI MARGHERITA, BOLOGNA VIALE BOTTONELLI;18.0;NO2 (Biossido di azoto)
1185671;2025-01-11T08:00:00+01:00;VIA CHIARINI, BOLOGNA VIA CHIARINI;1.0;O3 (Ozono)
1187513;2025-01-11T06:00:00+01:00;VIA CHIARINI, BOLOGNA VIA CHIARINI;22.0;NO2 (Biossido di azoto)
1185716;2025-01-11T05:00:00+01:00;GIARDINI MARGHERITA, BOLOGNA VIALE BOTTONELLI;16.0;O3 (Ozono)
1187416;2025-01-11T05:00:00+01:00;GIARDINI MARGHERITA, BOLOGNA VIALE BOTTONELLI;16.0;NO2 (Biossido di azoto)
1185715;2025-01-11T04:00:00+01:00;GIARDINI MARGHERITA, BOLOGNA VIALE BOTTONELLI;16.0;O3 (Ozono)
1187415;2025-01-11T04:00:00+01:00;GIARDINI MARGHERITA, BOLOGNA VIALE BOTTONELLI;19.0;NO2 (Biossido di azoto)
