idx,stname,period,year,order,label,month,tot_day
0,largo bartolo nigrisoli,1,2019,20191,2019,2019-06,1438.4858678955452
9,largo bartolo nigrisoli,2,2019,20192,,2019-09,1236.1060035842295
18,largo card. giacomo lercaro,1,2019,20191,2019,2019-06,2683.5
19,largo card. giacomo lercaro,2,2019,20192,,2019-09,2415.5863799283156
20,largo mariele ventre,1,2019,20191,2019,2019-06,8949.02379672299
21,largo mariele ventre,2,2019,20192,,2019-09,12776.77616487455
22,largo vittime lager nazisti,1,2019,20191,2019,2019-06,1283.9803891449053
23,largo vittime lager nazisti,2,2019,20192,,2019-09,1056.189605734767
24,mura di porta galliera,1,2019,20191,2019,2019-06,1676.690616999488
25,mura di porta galliera,2,2019,20192,,2019-09,1639.7501792114697
26,p.le atleti azzurri d'italia,1,2019,20191,2019,2019-06,2444.898828725038
27,p.le atleti azzurri d'italia,2,2019,20192,,2019-09,2493.164157706093
28,passaggio a. marescalchi,1,2019,20191,2019,2019-06,856.8367127496159
29,passaggio a. marescalchi,2,2019,20192,,2019-09,776.6711469534051
30,piazza adam mickiewicz,1,2019,20191,2019,2019-06,5628.29128264209
36,piazza adam mickiewicz,2,2019,20192,,2019-09,5239.931720430108
42,piazza aldrovandi,1,2019,20191,2019,2019-06,1715.4560163850485
45,piazza aldrovandi,2,2019,20192,,2019-09,1548.3801075268818
48,piazza belluno,1,2019,20191,2019,2019-06,1477.6954429083462
55,piazza belluno,2,2019,20192,,2019-09,2157.665053763441
62,piazza della costituzione,1,2019,20191,2019,2019-06,782.9361495135689
79,piazza della costituzione,2,2019,20192,,2019-09,584.1071684587813
96,piazza delle medaglie d'oro,1,2019,20191,2019,2019-06,4353.432117255505
97,piazza delle medaglie d'oro,2,2019,20192,,2019-09,4788.813620071684
98,piazza di porta castiglione,1,2019,20191,2019,2019-06,1910.6611495135687
112,piazza di porta castiglione,2,2019,20192,,2019-09,2000.3569892473117
126,piazza di porta s.isaia,1,2019,20191,2019,2019-06,6368.9846518177155
127,piazza di porta s.isaia,2,2019,20192,,2019-09,5894.707526881721
128,piazza di porta s.mamolo,1,2019,20191,2019,2019-06,11127.610093445981
129,piazza di porta s.mamolo,2,2019,20192,,2019-09,10480.690143369176
130,piazza di porta s.vitale,1,2019,20191,2019,2019-06,7970.448911930364
131,piazza di porta s.vitale,2,2019,20192,,2019-09,17434.881541218638
132,piazza malpighi,1,2019,20191,2019,2019-06,5110.476216077829
141,piazza malpighi,2,2019,20192,,2019-09,4862.330465949821
150,piazza porta ravegnana,1,2019,20191,2019,2019-06,1005.3152201740912
151,piazza porta ravegnana,2,2019,20192,,2019-09,819.3051971326164
152,piazza renzo imbeni,1,2019,20191,2019,2019-06,826.8226446492575
153,piazza renzo imbeni,2,2019,20192,,2019-09,735.8437275985663
154,piazza trento e trieste,1,2019,20191,2019,2019-06,4940.951740911419
170,piazza trento e trieste,2,2019,20192,,2019-09,4638.48321385902
186,piazza xx settembre,1,2019,20191,2019,2019-06,13960.694662058371
187,piazza xx settembre,2,2019,20192,,2019-09,15749.148745519713
188,strada maggiore,1,2019,20191,2019,2019-06,2328.2346347499574
198,strada maggiore,2,2019,20192,,2019-09,2167.24743130227
208,tangenziale casalecchio-san lazzaro,1,2019,20191,2019,2019-06,2848.010842293907
209,tangenziale casalecchio-san lazzaro,2,2019,20192,,2019-09,2427.1390681003586
210,tangenziale san lazzaro-casalecchio,1,2019,20191,2019,2019-06,3180.3401305683565
211,tangenziale san lazzaro-casalecchio,2,2019,20192,,2019-09,1303.5117383512545
212,via adige,1,2019,20191,2019,2019-06,1410.6239759344598
221,via adige,2,2019,20192,,2019-09,1256.2491039426523
230,via agucchi,1,2019,20191,2019,2019-06,4458.138440860214
265,via agucchi,2,2019,20192,,2019-09,4260.846774193548
300,via alberto calda,1,2019,20191,2019,2019-06,1457.3444444444447
308,via alberto calda,2,2019,20192,,2019-09,2448.443369175627
316,via alberto dallolio,1,2019,20191,2019,2019-06,3785.7445980542757
330,via alberto dallolio,2,2019,20192,,2019-09,3463.562007168459
344,via alberto mario,1,2019,20191,2019,2019-06,3383.598179083461
