Geo Point;Geo Shape;ARCSTRA_ID;FNODE;TNODE;CODVIA;NOMEVIA;DATAINIZ;LUNGHEZZ;LARGHEZZ;CIVIMINP;EXPOMINP;CIVIMAXP;EXPOMAXP;CIVIMIND;EXPOMIND;CIVIMAXD;EXPOMAXD;XPROPRIE;PROPRIETA;NUMQUART;NOMEQUART;DA;A;SUPERFICIE;CRESCIV;XTIPOLOG;ESTREMI;PROGXVIA;ID_ENTE;F50;F50_drufuc;ZONA_NOME;Shape_Leng;VEL2024;Velocità massima consentita
44.488933188284356, 11.295386749272238;"{""coordinates"": [[[11.295190456149053, 44.48886211125736], [11.295583042395423, 44.48900426531135]]], ""type"": ""MultiLineString""}";14;4385;4386;59200;VIA CLAUDIO TREVES;19911021;34.9005005843;11.7;46;;46;B;0;;0;;1;comunale;11;Borgo Panigale - Reno;VIA ANTONIO GRAZIADEI;VIA FULVIO MILANI;408.33;1;0;0;7;A944;6;0;Barca;34.9005005843;30;Strade 30 km/h o inferiore
44.48881398802879, 11.297981769319215;"{""coordinates"": [[[11.29806564044731, 44.488843540530475], [11.297897898191122, 44.4887844355271]]], ""type"": ""MultiLineString""}";18;4381;4395;56450;VIA DON LUIGI STURZO;19911021;14.8262216357;11.5;0;;0;;0;;0;;1;comunale;13;Porto - Saragozza;VIA ALBERTO CALDA;VIA LIPPO DI DALMASIO;170.545;0;0;0;5;A944;42;0;Costa Saragozza;14.8262216357;50;Strade 50 km/h o superiore
44.49072378222763, 11.292540924719265;"{""coordinates"": [[[11.293489620734396, 44.49091019604126], [11.291592228704133, 44.49053736841401]]], ""type"": ""MultiLineString""}";25;4374;4375;62680;VIA WILIGELMO;19911021;156.085255165;13.5;0;;0;;1;;11;;1;comunale;11;Borgo Panigale - Reno;VIA VITALE DA BOLOGNA;VIA WILIGELMO;2107.215;1;0;0;1;A944;0;0;Barca;156.085255165;30;Strade 30 km/h o inferiore
44.49245118825973, 11.283267046317741;"{""coordinates"": [[[11.283219878096602, 44.492386525741395], [11.283260976295562, 44.492428182079095], [11.283290301904264, 44.49248719953539], [11.283295031853191, 44.492525605150476]]], ""type"": ""MultiLineString""}";32;4413;4418;40850;VIA JODICHE NALDI;19911021;16.9021587895;7;0;;0;;9;;9;;1;comunale;11;Borgo Panigale - Reno;VIA ARISTIDE ZUCCONI;VIA ENRICO FERMI;118.3;0;0;0;2;A944;0;0;Barca;16.9021587895;30;Strade 30 km/h o inferiore
44.492602978319795, 11.28358690033989;"{""coordinates"": [[[11.283295031853191, 44.492525605150476], [11.28346272357749, 44.492550534849485], [11.283707375832067, 44.49264313603184], [11.283829738567134, 44.49269023466581], [11.283872633899998, 44.49270433458944]]], ""type"": ""MultiLineString""}";36;4418;4422;40850;VIA JODICHE NALDI;19911021;50.3796341182;7;0;;0;;11;;11;;1;comunale;11;Borgo Panigale - Reno;VIA ENRICO FERMI;VIA NULLO BALDINI;352.66;0;0;0;3;A944;0;0;Barca;50.3796341182;30;Strade 30 km/h o inferiore
44.49338741018685, 11.281750336604322;"{""coordinates"": [[[11.281411184845696, 44.493451077871136], [11.282089488362946, 44.49332374250256]]], ""type"": ""MultiLineString""}";39;4404;4402;21250;VIA ALBERT EINSTEIN;19920110;55.8557016959;6;10;;12;;0;;0;;1;comunale;11;Borgo Panigale - Reno;VIA NICCOLO' COPERNICO;VIA RAFFAELLO SANZIO;335.16;1;0;0;3;A944;0;0;Barca;55.8557016959;30;Strade 30 km/h o inferiore
44.49420974159426, 11.283677487948774;"{""coordinates"": [[[11.284056322142494, 44.494137379920744], [11.283380054822652, 44.494265904651144], [11.283299995160041, 44.49428788717083]]], ""type"": ""MultiLineString""}";41;15268;4426;58500;VIA EVANGELISTA TORRICELLI;19911021;62.5282229123;6;2;;2;2;1;;3;;1;comunale;11;Borgo Panigale - Reno;VIA LEONARDO DA VINCI;VIA ISAAC NEWTON;375.18;0;0;0;1;A944;0;0;Barca;62.5282229123;30;Strade 30 km/h o inferiore
44.493239487848655, 11.28621223499283;"{""coordinates"": [[[11.286677523524922, 44.49370834774229], [11.286585835059777, 44.49347081891191], [11.286529746034063, 44.493369194973724], [11.286498487003177, 44.49332933597997], [11.28646290493672, 44.493301278900475], [11.285756344868927, 44.49300076018888], [11.285602783965546, 44.49290795004126]]], ""type"": ""MultiLineString""}";47;4406;4429;34950;VIA ROSSANO MARCHIONI;19911021;130.02829554;7.5;2;;6;;1;;1;;1;comunale;11;Borgo Panigale - Reno;VIA ACHILLE GRANDI;VIA DANTE BENAZZI;975.225;0;0;0;1;A944;0;0;Barca;130.02829554;30;Strade 30 km/h o inferiore
44.49362068973476, 11.287092113461863;"{""coordinates"": [[[11.286677523524922, 44.49370834774229], [11.287506703398805, 44.49353303172725]]], ""type"": ""MultiLineString""}";48;4406;4408;28700;VIA ACHILLE GRANDI;19920110;68.8205374354;15;0;;0;;1;;1;2;1;comunale;11;Borgo Panigale - Reno;VIA MASACCIO;VIA RINALDO RIGOLA;1032.3;1;0;0;2;A944;0;0;Barca;68.8205374354;30;Strade 30 km/h o inferiore
44.49211000435068, 11.284784307720269;"{""coordinates"": [[[11.284437543981525, 44.49253980460817], [11.285131071459015, 44.491680204093186]]], ""type"": ""MultiLineString""}";49;4415;4412;44800;VIA PIETRO PELOTTI;19920110;110.582751141;10;2;;4;;1;;5;;1;comunale;11;Borgo Panigale - Reno;VIA MASACCIO;VIA ROSSANO MARCHIONI;1105.8;1;0;0;1;A944;0;0;Barca;110.582751141;30;Strade 30 km/h o inferiore
