,Nome via,period,year,order,label,month,tot_day
0,LARGO BARTOLO NIGRISOLI,1,2022,20221,2022,2022-03,1272.9925115207373
1,LARGO BARTOLO NIGRISOLI,2,2022,20222,,2022-06,1356.3256272401434
2,LARGO BARTOLO NIGRISOLI,3,2022,20223,,2022-09,1331.6675627240145
3,LARGO BARTOLO NIGRISOLI,4,2022,20224,,2022-12,1376.3034050179212
4,LARGO CARD. GIACOMO LERCARO,1,2022,20221,2022,2022-03,1808.560291858679
5,LARGO CARD. GIACOMO LERCARO,2,2022,20222,,2022-06,2569.589964157706
6,LARGO CARD. GIACOMO LERCARO,3,2022,20223,,2022-09,1942.8684587813623
7,LARGO CARD. GIACOMO LERCARO,4,2022,20224,,2022-12,2136.2189964157706
8,LARGO MARIELE VENTRE,1,2022,20221,2022,2022-03,14451.504224270355
9,LARGO MARIELE VENTRE,2,2022,20222,,2022-06,14516.187813620074
10,LARGO MARIELE VENTRE,3,2022,20223,,2022-09,11891.146236559141
11,LARGO MARIELE VENTRE,4,2022,20224,,2022-12,15120.151254480288
12,LARGO VITTIME LAGER NAZISTI,1,2022,20221,2022,2022-03,1126.953149001536
13,LARGO VITTIME LAGER NAZISTI,2,2022,20222,,2022-06,1167.3516129032257
14,LARGO VITTIME LAGER NAZISTI,3,2022,20223,,2022-09,979.6082437275985
15,LARGO VITTIME LAGER NAZISTI,4,2022,20224,,2022-12,1275.4390681003586
16,MURA DI PORTA GALLIERA,1,2022,20221,2022,2022-03,1880.6839477726573
17,MURA DI PORTA GALLIERA,2,2022,20222,,2022-06,1875.163440860215
18,MURA DI PORTA GALLIERA,3,2022,20223,,2022-09,1803.3695340501793
19,MURA DI PORTA GALLIERA,4,2022,20224,,2022-12,1840.1387096774195
20,NOME VIA DA ISTITUIRE,1,2022,20221,2022,2022-03,980.647465437788
21,NOME VIA DA ISTITUIRE,2,2022,20222,,2022-06,1050.810394265233
22,NOME VIA DA ISTITUIRE,3,2022,20223,,2022-09,4077.619713261649
23,NOME VIA DA ISTITUIRE,4,2022,20224,,2022-12,1342.243369175627
24,P.LE ATLETI AZZURRI D'ITALIA,1,2022,20221,2022,2022-03,2667.6180875576033
25,P.LE ATLETI AZZURRI D'ITALIA,2,2022,20222,,2022-06,2844.0197132616486
26,P.LE ATLETI AZZURRI D'ITALIA,3,2022,20223,,2022-09,2419.4698924731183
27,P.LE ATLETI AZZURRI D'ITALIA,4,2022,20224,,2022-12,2785.031182795699
28,PASSAGGIO A. MARESCALCHI,1,2022,20221,2022,2022-03,737.6036866359447
29,PASSAGGIO A. MARESCALCHI,2,2022,20222,,2022-06,823.1164874551972
30,PASSAGGIO A. MARESCALCHI,3,2022,20223,,2022-09,588.6032258064516
31,PASSAGGIO A. MARESCALCHI,4,2022,20224,,2022-12,664.6480286738351
32,PIAZZA ADAM MICKIEWICZ,1,2022,20221,2022,2022-03,5171.248079877112
33,PIAZZA ADAM MICKIEWICZ,2,2022,20222,,2022-06,5142.905017921147
34,PIAZZA ADAM MICKIEWICZ,3,2022,20223,,2022-09,4507.358781362007
35,PIAZZA ADAM MICKIEWICZ,4,2022,20224,,2022-12,5526.350537634408
36,PIAZZA ALDROVANDI,1,2022,20221,2022,2022-03,1435.771505376344
37,PIAZZA ALDROVANDI,2,2022,20222,,2022-06,1405.582258064516
38,PIAZZA ALDROVANDI,3,2022,20223,,2022-09,1117.1060931899642
39,PIAZZA ALDROVANDI,4,2022,20224,,2022-12,1381.1326164874552
40,PIAZZA BELLUNO,1,2022,20221,2022,2022-03,2155.3475422427036
41,PIAZZA BELLUNO,2,2022,20222,,2022-06,2196.712007168459
42,PIAZZA BELLUNO,3,2022,20223,,2022-09,1801.3338709677419
43,PIAZZA BELLUNO,4,2022,20224,,2022-12,2138.8236559139787
44,PIAZZA DELLA COSTITUZIONE,1,2022,20221,2022,2022-03,268.85023041474653
45,PIAZZA DELLA COSTITUZIONE,2,2022,20222,,2022-06,652.5129032258064
46,PIAZZA DELLA COSTITUZIONE,3,2022,20223,,2022-09,431.0845878136201
47,PIAZZA DELLA COSTITUZIONE,4,2022,20224,,2022-12,308.5028673835125
48,PIAZZA DELLE MEDAGLIE D'ORO,1,2022,20221,2022,2022-03,2623.989247311828
49,PIAZZA DELLE MEDAGLIE D'ORO,2,2022,20222,,2022-06,5992.083870967741
50,PIAZZA DELLE MEDAGLIE D'ORO,3,2022,20223,,2022-09,7211.472043010753
51,PIAZZA DELLE MEDAGLIE D'ORO,4,2022,20224,,2022-12,3232.4724014336916
52,PIAZZA DI PORTA CASTIGLIONE,1,2022,20221,2022,2022-03,1968.7373271889398
53,PIAZZA DI PORTA CASTIGLIONE,2,2022,20222,,2022-06,2109.015770609319
54,PIAZZA DI PORTA CASTIGLIONE,3,2022,20223,,2022-09,2096.1448028673835
55,PIAZZA DI PORTA CASTIGLIONE,4,2022,20224,,2022-12,1863.926523297491
56,PIAZZA DI PORTA S.ISAIA,1,2022,20221,2022,2022-03,5210.899385560676
57,PIAZZA DI PORTA S.ISAIA,2,2022,20222,,2022-06,5547.606093189964
58,PIAZZA DI PORTA S.ISAIA,3,2022,20223,,2022-09,5366.898207885305
59,PIAZZA DI PORTA S.ISAIA,4,2022,20224,,2022-12,6297.571684587813
60,PIAZZA DI PORTA S.MAMOLO,1,2022,20221,2022,2022-03,9264.365207373272
61,PIAZZA DI PORTA S.MAMOLO,2,2022,20222,,2022-06,10766.225268817205
62,PIAZZA DI PORTA S.MAMOLO,3,2022,20223,,2022-09,11171.251254480287
63,PIAZZA DI PORTA S.MAMOLO,4,2022,20224,,2022-12,13475.808960573477
64,PIAZZA DI PORTA S.VITALE,1,2022,20221,2022,2022-03,15640.409370199692
65,PIAZZA DI PORTA S.VITALE,2,2022,20222,,2022-06,16946.76559139785
66,PIAZZA DI PORTA S.VITALE,3,2022,20223,,2022-09,14682.46200716846
67,PIAZZA DI PORTA S.VITALE,4,2022,20224,,2022-12,17703.52329749104
68,PIAZZA MALPIGHI,1,2022,20221,2022,2022-03,4409.884216589861
69,PIAZZA MALPIGHI,2,2022,20222,,2022-06,4095.5064516129028
70,PIAZZA MALPIGHI,3,2022,20223,,2022-09,2966.298745519713
71,PIAZZA MALPIGHI,4,2022,20224,,2022-12,3595.8783154121866
72,PIAZZA PORTA RAVEGNANA,1,2022,20221,2022,2022-03,812.2219662058372
73,PIAZZA PORTA RAVEGNANA,2,2022,20222,,2022-06,923.110035842294
74,PIAZZA PORTA RAVEGNANA,3,2022,20223,,2022-09,737.4827956989247
75,PIAZZA PORTA RAVEGNANA,4,2022,20224,,2022-12,966.447311827957
76,PIAZZA RENZO IMBENI,1,2022,20221,2022,2022-03,1146.6920122887866
77,PIAZZA RENZO IMBENI,2,2022,20222,,2022-06,665.7548387096774
78,PIAZZA RENZO IMBENI,3,2022,20223,,2022-09,553.1512544802868
79,PIAZZA RENZO IMBENI,4,2022,20224,,2022-12,628.7480286738352
80,PIAZZA TRENTO E TRIESTE,1,2022,20221,2022,2022-03,4017.98681515617
81,PIAZZA TRENTO E TRIESTE,2,2022,20222,,2022-06,4465.956272401433
82,PIAZZA TRENTO E TRIESTE,3,2022,20223,,2022-09,3574.9449223416964
83,PIAZZA TRENTO E TRIESTE,4,2022,20224,,2022-12,4314.213261648746
84,PIAZZA XX SETTEMBRE,1,2022,20221,2022,2022-03,11341.879544290836
85,PIAZZA XX SETTEMBRE,2,2022,20222,,2022-06,12190.372759856631
86,PIAZZA XX SETTEMBRE,3,2022,20223,,2022-09,7291.839307048985
87,PIAZZA XX SETTEMBRE,4,2022,20224,,2022-12,12096.365471923536
88,STRADA MAGGIORE,1,2022,20221,2022,2022-03,2651.3923451100873
89,STRADA MAGGIORE,2,2022,20222,,2022-06,2950.836798088411
90,STRADA MAGGIORE,3,2022,20223,,2022-09,2577.6618876941457
91,STRADA MAGGIORE,4,2022,20224,,2022-12,2909.6715651135005
92,TANGENZIALE CASALECCHIO-SAN LAZZARO,1,2022,20221,2022,2022-03,3008.4231950844855
93,TANGENZIALE CASALECCHIO-SAN LAZZARO,2,2022,20222,,2022-06,3272.006810035842
94,TANGENZIALE CASALECCHIO-SAN LAZZARO,3,2022,20223,,2022-09,2247.6405017921147
95,TANGENZIALE CASALECCHIO-SAN LAZZARO,4,2022,20224,,2022-12,0.0
96,TANGENZIALE SAN LAZZARO-CASALECCHIO,1,2022,20221,2022,2022-03,2965.571812596006
97,TANGENZIALE SAN LAZZARO-CASALECCHIO,2,2022,20222,,2022-06,3179.3399641577066
98,TANGENZIALE SAN LAZZARO-CASALECCHIO,3,2022,20223,,2022-09,2472.7609318996415
99,TANGENZIALE SAN LAZZARO-CASALECCHIO,4,2022,20224,,2022-12,864.1641577060932
100,VIA ADIGE,1,2022,20221,2022,2022-03,1244.623271889401
101,VIA ADIGE,2,2022,20222,,2022-06,1263.1541218637992
102,VIA ADIGE,3,2022,20223,,2022-09,556.3351254480286
103,VIA ADIGE,4,2022,20224,,2022-12,528.0082437275986
104,VIA ADOLFO DE CAROLIS,2,2022,20222,,2022-06,0.0
105,VIA ADOLFO DE CAROLIS,3,2022,20223,,2022-09,275.8777777777778
106,VIA ADOLFO DE CAROLIS,4,2022,20224,,2022-12,0.0
107,VIA AGUCCHI,1,2022,20221,2022,2022-03,3103.604070660522
108,VIA AGUCCHI,2,2022,20222,,2022-06,3782.4050179211467
109,VIA AGUCCHI,3,2022,20223,,2022-09,3274.6777777777775
110,VIA AGUCCHI,4,2022,20224,,2022-12,3854.373476702509
111,VIA ALBERELLI,3,2022,20223,,2022-09,346.4418637992832
112,VIA ALBERELLI,4,2022,20224,,2022-12,582.9401433691756
113,VIA ALBERTO CALDA,1,2022,20221,2022,2022-03,2366.4673579109062
114,VIA ALBERTO CALDA,2,2022,20222,,2022-06,2438.3322580645163
115,VIA ALBERTO CALDA,3,2022,20223,,2022-09,2068.230465949821
116,VIA ALBERTO CALDA,4,2022,20224,,2022-12,2430.8584229390685
117,VIA ALBERTO DALLOLIO,1,2022,20221,2022,2022-03,3240.6931643625194
118,VIA ALBERTO DALLOLIO,2,2022,20222,,2022-06,3324.4315412186384
119,VIA ALBERTO DALLOLIO,3,2022,20223,,2022-09,2899.864157706093
120,VIA ALBERTO DALLOLIO,4,2022,20224,,2022-12,3250.231541218638
121,VIA ALBERTO MARIO,1,2022,20221,2022,2022-03,2914.917722734255
122,VIA ALBERTO MARIO,2,2022,20222,,2022-06,3059.691577060932
123,VIA ALBERTO MARIO,3,2022,20223,,2022-09,2645.5661290322582
124,VIA ALBERTO MARIO,4,2022,20224,,2022-12,2975.1505376344085
125,VIA ALESSANDRO GUIDOTTI,1,2022,20221,2022,2022-03,2160.8709677419356
126,VIA ALESSANDRO GUIDOTTI,2,2022,20222,,2022-06,2196.686379928315
127,VIA ALESSANDRO GUIDOTTI,3,2022,20223,,2022-09,524.9462365591397
128,VIA ALESSANDRO GUIDOTTI,4,2022,20224,,2022-12,1791.847670250896
129,VIA ALESSANDRO TIARINI,1,2022,20221,2022,2022-03,3202.814516129032
130,VIA ALESSANDRO TIARINI,2,2022,20222,,2022-06,3597.3715651135008
131,VIA ALESSANDRO TIARINI,3,2022,20223,,2022-09,3543.9500597371566
132,VIA ALESSANDRO TIARINI,4,2022,20224,,2022-12,6246.693189964158
133,VIA ALFONSO LOMBARDI,1,2022,20221,2022,2022-03,2509.950076804915
134,VIA ALFONSO LOMBARDI,2,2022,20222,,2022-06,2474.5039426523294
135,VIA ALFONSO LOMBARDI,3,2022,20223,,2022-09,2145.733333333333
136,VIA ALFONSO LOMBARDI,4,2022,20224,,2022-12,2531.0806451612902
137,VIA ALFONSO RUBBIANI,1,2022,20221,2022,2022-03,2822.655913978495
138,VIA ALFONSO RUBBIANI,2,2022,20222,,2022-06,3715.4698924731183
139,VIA ALFONSO RUBBIANI,3,2022,20223,,2022-09,3701.199641577061
140,VIA ALFONSO RUBBIANI,4,2022,20224,,2022-12,5133.926881720429
141,VIA ALFONSO TORREGGIANI,1,2022,20221,2022,2022-03,3549.3087557603685
142,VIA ALFONSO TORREGGIANI,2,2022,20222,,2022-06,3715.786379928315
143,VIA ALFONSO TORREGGIANI,3,2022,20223,,2022-09,3109.83835125448
144,VIA ALFONSO TORREGGIANI,4,2022,20224,,2022-12,3673.9308243727596
145,VIA AMEDEO PARMEGGIANI,1,2022,20221,2022,2022-03,3284.6428571428573
146,VIA AMEDEO PARMEGGIANI,2,2022,20222,,2022-06,3468.355734767025
147,VIA AMEDEO PARMEGGIANI,3,2022,20223,,2022-09,2871.729390681003
148,VIA AMEDEO PARMEGGIANI,4,2022,20224,,2022-12,3463.505197132616
149,VIA AMILCARE PONCHIELLI,1,2022,20221,2022,2022-03,1599.2566564260112
150,VIA AMILCARE PONCHIELLI,2,2022,20222,,2022-06,938.6415770609319
151,VIA AMILCARE PONCHIELLI,3,2022,20223,,2022-09,351.6477897252091
152,VIA AMILCARE PONCHIELLI,4,2022,20224,,2022-12,1437.4881720430105
153,VIA ANDREA COSTA,1,2022,20221,2022,2022-03,7334.52184139785
154,VIA ANDREA COSTA,2,2022,20222,,2022-06,7200.277822580644
155,VIA ANDREA COSTA,3,2022,20223,,2022-09,5592.43015232975
156,VIA ANDREA COSTA,4,2022,20224,,2022-12,8088.553897849462
157,VIA ANTONIO CAVALIERI DUCATI,1,2022,20221,2022,2022-03,8359.848694316437
158,VIA ANTONIO CAVALIERI DUCATI,2,2022,20222,,2022-06,8949.953046594981
159,VIA ANTONIO CAVALIERI DUCATI,3,2022,20223,,2022-09,7578.514336917563
160,VIA ANTONIO CAVALIERI DUCATI,4,2022,20224,,2022-12,8294.420071684588
161,VIA ANTONIO GIURIOLO,1,2022,20221,2022,2022-03,846.9660138248847
162,VIA ANTONIO GIURIOLO,2,2022,20222,,2022-06,3078.0100358422937
163,VIA ANTONIO GIURIOLO,3,2022,20223,,2022-09,2800.0137992831537
164,VIA ANTONIO GIURIOLO,4,2022,20224,,2022-12,2930.547311827957
165,VIA ANTONIO LABRIOLA,1,2022,20221,2022,2022-03,1146.470430107527
166,VIA ANTONIO LABRIOLA,2,2022,20222,,2022-06,1165.0741935483873
